city,country,location,newCity,newCountry,lat,long,tempF,humidity,cloud,windMPH,maxTemp,timeStamp
ipixuna,br,"ipixuna, br",Ipixuna,BR,-1.76,-48.8,77,94,75,6.93,77,
whitecourt,ca,"whitecourt, ca",Whitecourt,CA,54.14,-115.68,41,65,75,4.7,41,
kahului,us,"kahului, us",Kahului,US,20.89,-156.47,79.92,54,40,14.99,84.2,
moose factory,ca,"moose factory, ca",Moose Factory,CA,51.26,-80.61,23,38,1,6.93,23,
lyngdal,no,"lyngdal, no",Lyngdal,NO,58.14,7.07,31.57,79,0,3.36,37,
tudela,es,"tudela, es",Tudela,ES,42.06,-1.61,48.13,87,90,5.82,48.2,
sioux lookout,ca,"sioux lookout, ca",Sioux Lookout,CA,50.1,-91.92,32.76,37,75,9.17,33.8,
stornoway,gb,"stornoway, gb",Stornoway,GB,58.21,-6.39,39.2,80,56,9.17,39.2,
kruisfontein,za,"kruisfontein, za",Kruisfontein,ZA,-34,24.73,60.92,85,12,18.16,60.92,
avera,pf,"avera, pf",,,,,,,,,,
kodinsk,ru,"kodinsk, ru",Kodinsk,RU,58.6,99.18,32.39,94,44,5.64,32.39,
batemans bay,au,"batemans bay, au",Batemans Bay,AU,-35.71,150.18,60.51,69,0,1.01,64,
ugoofaaru,mv,"ugoofaaru, mv",Ugoofaaru,MV,5.67,73,83.87,100,0,2.06,83.87,
shuangcheng,cn,"shuangcheng, cn",Shuangcheng,CN,45.37,126.3,26.6,53,0,6.71,26.6,
pakdasht,ir,"pakdasht, ir",Pakdasht,IR,35.48,51.68,55.94,58,90,6.93,57.2,
yerbogachen,ru,"yerbogachen, ru",Yerbogachen,RU,61.28,108.01,27.08,75,64,6.64,27.08,
ridgecrest,us,"ridgecrest, us",Ridgecrest,US,35.62,-117.67,73.11,12,1,4.7,73.4,
roanoke rapids,us,"roanoke rapids, us",Roanoke Rapids,US,36.46,-77.65,57.4,30,1,8.05,60.8,
panzhihua,cn,"panzhihua, cn",Panzhihua,CN,26.59,101.72,48.86,87,8,1.95,48.86,
akyab,mm,"akyab, mm",,,,,,,,,,
pasighat,in,"pasighat, in",Pasighat,IN,28.06,95.33,57.05,98,92,1.5,57.05,
concarneau,fr,"concarneau, fr",Concarneau,FR,47.88,-3.92,51.48,87,20,5.82,53.6,
sao miguel do araguaia,br,"sao miguel do araguaia, br",Sao Miguel do Araguaia,BR,-13.28,-50.16,76.49,92,0,1.95,76.49,
burgeo,ca,"burgeo, ca",Burgeo,CA,47.61,-57.61,32.75,90,88,16.37,32.75,
camabatela,ao,"camabatela, ao",Camabatela,AO,-8.19,15.37,64.52,93,12,2.39,64.52,
nguiu,au,"nguiu, au",,,,,,,,,,
sindgi,in,"sindgi, in",Sindgi,IN,16.92,76.23,67.76,83,20,3.18,67.76,
merauke,id,"merauke, id",Merauke,ID,-8.49,140.4,78.74,100,92,8.77,78.74,
kununurra,au,"kununurra, au",Kununurra,AU,-15.77,128.74,78.8,34,0,4.7,78.8,
shpykiv,ua,"shpykiv, ua",,,,,,,,,,
torbay,ca,"torbay, ca",Torbay,CA,47.66,-52.73,40.84,100,90,12.75,43,
rorvik,no,"rorvik, no",Rorvik,NO,64.86,11.24,34,82,88,1.01,34,
skalistyy,ru,"skalistyy, ru",,,,,,,,,,
charlestown,kn,"charlestown, kn",Charlestown,KN,17.13,-62.62,75.09,88,75,10.78,78.8,
brae,gb,"brae, gb",Brae,GB,60.4,-1.35,42.8,75,80,18.34,42.8,
hitoyoshi,jp,"hitoyoshi, jp",Hitoyoshi,JP,32.2,130.77,44.28,45,40,16.11,44.6,
san-pedro,ci,"san-pedro, ci",San-Pedro,CI,4.75,-6.64,81.62,88,20,5.75,81.62,
parsons,us,"parsons, us",Parsons,US,37.34,-95.26,46.83,36,1,4.7,48.2,
lere,ng,"lere, ng",Lere,NG,10.39,8.57,68.84,60,0,4.07,68.84,
san vicente,ph,"san vicente, ph",San Vicente,PH,14.11,122.87,80.18,100,56,12.68,80.18,
huanren,cn,"huanren, cn",Huanren,CN,41.26,125.37,33.65,52,0,3.18,33.65,
autazes,br,"autazes, br",Autazes,BR,-3.58,-59.13,81.08,83,0,4.18,81.08,
bambanglipuro,id,"bambanglipuro, id",Bambanglipuro,ID,-7.95,110.28,75.59,97,0,3.74,75.59,
keskin,tr,"keskin, tr",Keskin,TR,39.67,33.62,42.01,61,12,3.06,42.01,
villazon,bo,"villazon, bo",,,,,,,,,,
capoterra,it,"capoterra, it",Capoterra,IT,39.18,8.97,52.83,62,0,3.36,55.4,
prince rupert,ca,"prince rupert, ca",Prince Rupert,CA,54.32,-130.32,51.8,62,1,8.05,51.8,
turukhansk,ru,"turukhansk, ru",Turukhansk,RU,65.8,87.96,25.19,85,48,9.44,25.19,
marcona,pe,"marcona, pe",,,,,,,,,,
zhigansk,ru,"zhigansk, ru",Zhigansk,RU,66.77,123.37,20.69,85,48,7.2,20.69,
voh,nc,"voh, nc",Voh,NC,-20.95,164.69,81.71,92,0,4.29,81.71,
luanda,ao,"luanda, ao",Luanda,AO,-8.83,13.24,80.6,88,75,4.18,80.6,
cuauhtemoc,mx,"cuauhtemoc, mx",Cuauhtemoc,MX,28.72,-111.63,84.65,15,0,11.01,88,
padang,id,"padang, id",Padang,ID,-0.92,100.36,75.2,94,75,3.36,75.2,
cockburn harbour,tc,"cockburn harbour, tc",,,,,,,,,,
bilibino,ru,"bilibino, ru",Bilibino,RU,68.06,166.44,14.57,74,24,3.18,14.57,
kirakira,sb,"kirakira, sb",Kirakira,SB,-10.46,161.92,84.14,100,24,5.64,84.14,
hovd,mn,"hovd, mn",Hovd,MN,48.01,91.64,20.15,66,0,1.95,20.15,
lingao,cn,"lingao, cn",Lingao,CN,19.91,109.69,76.76,90,88,8.21,76.76,
dzaoudzi,yt,"dzaoudzi, yt",Dzaoudzi,YT,-12.79,45.27,82.4,88,75,10.29,82.4,
kyaikto,mm,"kyaikto, mm",Kyaikto,MM,17.31,97.01,67.22,97,0,2.39,67.22,
nakasongola,ug,"nakasongola, ug",Nakasongola,UG,1.32,32.46,64.88,94,48,8.66,64.88,
thai binh,vn,"thai binh, vn",Thai Binh,VN,20.45,106.33,77,94,75,5.82,77,
clovis,us,"clovis, us",Clovis,US,36.83,-119.7,70.97,27,40,6.93,78.8,
blind river,ca,"blind river, ca",Blind River,CA,46.19,-82.96,25.77,58,1,18.34,26.6,
flinders,au,"flinders, au",Flinders,AU,-34.58,150.85,63.75,100,75,11.41,68,
mandalgovi,mn,"mandalgovi, mn",Mandalgovi,MN,45.76,106.27,26.9,58,92,9.78,26.9,
monrovia,lr,"monrovia, lr",Monrovia,LR,6.33,-10.8,78.8,94,20,5.86,78.8,
haines junction,ca,"haines junction, ca",Haines Junction,CA,60.75,-137.51,41.57,46,0,2.62,41.57,
koppies,za,"koppies, za",Koppies,ZA,-27.24,27.57,66.32,46,56,7.65,66.32,
palmer,us,"palmer, us",Palmer,US,61.6,-149.11,48.56,37,40,5.82,54,
chicama,pe,"chicama, pe",Chicama,PE,-7.84,-79.15,69.8,88,40,10.29,69.8,
ust-nera,ru,"ust-nera, ru",Ust-Nera,RU,64.57,143.24,8,79,36,2.62,8,
basco,ph,"basco, ph",Basco,PH,20.45,121.97,77.21,100,36,24.43,77.21,
pitkyaranta,ru,"pitkyaranta, ru",Pitkyaranta,RU,61.57,31.48,24.38,89,0,7.99,24.38,
lashio,mm,"lashio, mm",Lashio,MM,22.93,97.75,59.12,90,0,1.95,59.12,
ellisras,za,"ellisras, za",Ellisras,ZA,-23.67,27.74,69.92,62,0,8.21,69.92,
port-gentil,ga,"port-gentil, ga",Port-Gentil,GA,-0.72,8.78,77,94,20,2.24,77,
sivaki,ru,"sivaki, ru",Sivaki,RU,52.63,126.75,22.13,50,0,3.62,22.13,
aztec,us,"aztec, us",Aztec,US,36.82,-107.99,39.51,48,75,6.93,46,
gat,ly,"gat, ly",,,,,,,,,,
loukhi,ru,"loukhi, ru",Loukhi,RU,66.08,33.04,22.94,76,0,6.53,22.94,
katangli,ru,"katangli, ru",Katangli,RU,51.71,143.23,19.07,100,76,13.24,19.07,
weinan,cn,"weinan, cn",Weinan,CN,34.5,109.46,33.8,64,0,2.24,33.8,
krasnyy yar,ru,"krasnyy yar, ru",Krasnyy Yar,RU,50.7,44.73,35.36,88,48,11.45,35.36,
salo,fi,"salo, fi",Salo,FI,60.38,23.13,32.47,74,0,8.05,34,
sumbawa,id,"sumbawa, id",,,,,,,,,,
henties bay,na,"henties bay, na",Henties Bay,NA,-22.12,14.28,63,85,100,4,63,
thinadhoo,mv,"thinadhoo, mv",Thinadhoo,MV,0.53,72.93,83.06,100,0,2.39,83.06,
bandar-e lengeh,ir,"bandar-e lengeh, ir",Bandar-e Lengeh,IR,26.56,54.88,76.76,84,64,16.93,76.76,
nadrag,ro,"nadrag, ro",Nadrag,RO,45.65,22.18,41,65,0,2.17,41,
tilichiki,ru,"tilichiki, ru",Tilichiki,RU,60.47,166.1,34.64,93,88,11.56,34.64,
bunia,cd,"bunia, cd",Bunia,CD,1.56,30.25,63.89,93,36,2.73,63.89,
mogadishu,so,"mogadishu, so",Mogadishu,SO,2.04,45.34,82.79,100,0,14.47,82.79,
pyay,mm,"pyay, mm",Pyay,MM,18.82,95.22,67.76,92,0,0.38,67.76,
moussoro,td,"moussoro, td",Moussoro,TD,13.64,16.49,76.67,16,0,12.8,76.67,
lolua,tv,"lolua, tv",,,,,,,,,,
ixtapa,mx,"ixtapa, mx",Ixtapa,MX,20.71,-105.21,77.9,74,5,12.75,78.8,
nikolayevka,ru,"nikolayevka, ru",Nikolayevka,RU,46.73,38.57,43.46,84,0,12.24,43.46,
